contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency,expiry,type,mid,pull_date,spread,spread_mid_ratio,S0,dividend_yield,q,r,T,iv_own,iv_diff
SPY260706C00712000,2026-07-02 19:55:49+00:00,712.0,32.64,30.85,34.37,-1.0400009,-3.0878887,4.0,5,0.4182187084960937,True,REGULAR,USD,2026-07-06,call,32.61,2026-07-04,3.52,0.107942349,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00713000,2026-06-25 18:15:02+00:00,713.0,23.68,29.85,33.37,0.0,0.0,,36,0.4088193884277343,True,REGULAR,USD,2026-07-06,call,31.61,2026-07-04,3.52,0.1113571655,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00714000,2026-07-02 19:54:46+00:00,714.0,30.63,28.85,32.37,1.3599987,4.646391,6.0,3,0.399420068359375,True,REGULAR,USD,2026-07-06,call,30.61,2026-07-04,3.52,0.1149950996,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00715000,2026-07-02 19:54:18+00:00,715.0,29.17,27.85,31.37,-2.9499989,-9.184305,7.0,21,0.3900207482910156,True,REGULAR,USD,2026-07-06,call,29.61,2026-07-04,3.52,0.1188787572,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00717000,2026-07-02 19:54:17+00:00,717.0,27.39,25.86,29.37,-4.550001,-14.245464,7.0,32,0.3711000390625,True,REGULAR,USD,2026-07-06,call,27.615,2026-07-04,3.51,0.1271048343,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00720000,2026-07-02 19:54:44+00:00,720.0,24.45,23.78,25.78,-3.9899998,-14.029534,105.0,139,0.2983468603515624,True,REGULAR,USD,2026-07-06,call,24.78,2026-07-04,2.0,0.0807102502,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00721000,2026-07-02 19:55:46+00:00,721.0,23.66,21.87,25.38,-2.83,-10.683276,14.0,47,0.3332586206054688,True,REGULAR,USD,2026-07-06,call,23.625,2026-07-04,3.51,0.1485714286,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00722000,2026-07-02 19:54:16+00:00,722.0,22.19,20.87,24.39,-5.289999,-19.25036,9.0,88,0.3242255078124999,True,REGULAR,USD,2026-07-06,call,22.630000000000003,2026-07-04,3.52,0.1555457357,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00723000,2026-07-02 19:55:51+00:00,723.0,21.68,19.87,22.9,-2.4300003,-10.078807,19.0,95,0.2805247729492187,True,REGULAR,USD,2026-07-06,call,21.385,2026-07-04,3.03,0.1416880991,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00724000,2026-07-02 19:55:51+00:00,724.0,20.65,19.55,21.32,-2.960001,-12.5370655,13.0,34,0.2224198852539062,True,REGULAR,USD,2026-07-06,call,20.435,2026-07-04,1.77,0.08661609983,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00725000,2026-07-02 19:54:14+00:00,725.0,19.4,18.95,20.33,-3.210001,-14.197262,130.0,87,0.2150957397460937,True,REGULAR,USD,2026-07-06,call,19.64,2026-07-04,1.38,0.07026476578,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00726000,2026-07-02 19:54:43+00:00,726.0,18.4,17.96,19.34,-2.040001,-9.980435,12.0,92,0.2077715942382812,True,REGULAR,USD,2026-07-06,call,18.65,2026-07-04,1.38,0.07399463807,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00727000,2026-07-02 20:01:57+00:00,727.0,17.48,16.98,17.83,-3.1100006,-15.104422,156.0,215,0.12500875,True,REGULAR,USD,2026-07-06,call,17.405,2026-07-04,0.85,0.04883654122,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00728000,2026-07-02 20:11:58+00:00,728.0,16.41,15.44,17.35,-3.0,-15.455951,49.0,250,0.1917805432128906,True,REGULAR,USD,2026-07-06,call,16.395,2026-07-04,1.91,0.1164989326,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00729000,2026-07-02 18:41:21+00:00,729.0,14.34,14.39,16.4,-4.7800007,-25.000004,114.0,184,0.1873860559082031,True,REGULAR,USD,2026-07-06,call,15.395,2026-07-04,2.01,0.1305618707,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00730000,2026-07-02 20:14:52+00:00,730.0,14.7,14.48,14.87,-1.3200006,-8.239704,446.0,375,0.117196328125,True,REGULAR,USD,2026-07-06,call,14.675,2026-07-04,0.39,0.0265758092,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00731000,2026-07-02 18:18:50+00:00,731.0,14.5,13.08,13.9,-2.709999,-15.7466545,86.0,296,0.116219775390625,True,REGULAR,USD,2026-07-06,call,13.49,2026-07-04,0.82,0.06078576723,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00732000,2026-07-02 19:58:46+00:00,732.0,13.25,12.12,13.49,-2.1800003,-14.128323,207.0,750,0.1673667248535156,True,REGULAR,USD,2026-07-06,call,12.805,2026-07-04,1.37,0.1069894572,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00733000,2026-07-02 19:54:30+00:00,733.0,11.69,11.17,12.54,-2.7300005,-18.932041,252.0,711,0.1615074084472656,True,REGULAR,USD,2026-07-06,call,11.855,2026-07-04,1.37,0.1155630536,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00734000,2026-07-02 20:08:58+00:00,734.0,10.54,10.44,11.01,-2.1499996,-16.94247,644.0,702,0.10938390625,True,REGULAR,USD,2026-07-06,call,10.725,2026-07-04,0.57,0.05314685315,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,,
SPY260706C00735000,2026-07-02 20:12:37+00:00,735.0,9.83,9.85,9.94,-2.6000004,-20.91714,3672.0,1391,0.0932707861328125,True,REGULAR,USD,2026-07-06,call,9.895,2026-07-04,0.09,0.009095502779,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.07271175455163827,-0.02055903158117424
SPY260706C00736000,2026-07-02 20:00:47+00:00,736.0,8.8,8.92,9.02,-3.4499998,-28.163263,510.0,496,0.0943694079589843,True,REGULAR,USD,2026-07-06,call,8.969999999999999,2026-07-04,0.1,0.01114827202,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09289708790152797,-0.0014723200574563305
SPY260706C00737000,2026-07-02 20:10:50+00:00,737.0,7.88,8.01,8.11,-1.7699995,-18.341965,812.0,509,0.0938811315917968,True,REGULAR,USD,2026-07-06,call,8.059999999999999,2026-07-04,0.1,0.01240694789,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09847204839694235,0.004590916805145548
SPY260706C00738000,2026-07-02 20:12:33+00:00,738.0,7.09,7.12,7.22,-1.4499998,-16.978922,2187.0,1496,0.092782509765625,True,REGULAR,USD,2026-07-06,call,7.17,2026-07-04,0.1,0.01394700139,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10081644130501091,0.008033931539385919
SPY260706C00739000,2026-07-02 20:11:55+00:00,739.0,6.09,6.26,6.35,-1.3999996,-18.691584,2454.0,435,0.0911956115722656,True,REGULAR,USD,2026-07-06,call,6.305,2026-07-04,0.09,0.01427438541,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10157877213593275,0.010383160563667143
SPY260706C00740000,2026-07-02 20:14:40+00:00,740.0,5.5,5.43,5.52,-1.6799998,-23.398327,14897.0,2481,0.0898528515625,True,REGULAR,USD,2026-07-06,call,5.475,2026-07-04,0.09,0.01643835616,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1016750781323559,0.011822226569855904
SPY260706C00741000,2026-07-02 20:14:54+00:00,741.0,4.66,4.65,4.72,-1.7400002,-27.187502,22037.0,1116,0.0880218151855468,True,REGULAR,USD,2026-07-06,call,4.6850000000000005,2026-07-04,0.07,0.01494130203,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10122400378548173,0.013202188599934925
SPY260706C00742000,2026-07-02 20:14:52+00:00,742.0,3.92,3.87,3.96,-1.48,-27.407408,43020.0,1562,0.0858245715332031,True,REGULAR,USD,2026-07-06,call,3.915,2026-07-04,0.09,0.02298850575,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09897187420733927,0.013147302674136177
SPY260706C00743000,2026-07-02 20:14:55+00:00,743.0,3.24,3.17,3.25,-1.6699998,-34.012215,58982.0,1326,0.0835662933349609,True,REGULAR,USD,2026-07-06,call,3.21,2026-07-04,0.08,0.02492211838,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09716995235019606,0.01360365901523515
SPY260706C00744000,2026-07-02 20:14:58+00:00,744.0,2.55,2.55,2.58,-1.76,-40.835266,62224.0,1735,0.080514566040039,True,REGULAR,USD,2026-07-06,call,2.565,2026-07-04,0.03,0.01169590643,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09512550122208822,0.014610935182049228
SPY260706C00745000,2026-07-02 20:14:59+00:00,745.0,1.98,1.97,1.99,-1.6099999,-44.846794,90198.0,2394,0.0778900805664062,False,REGULAR,USD,2026-07-06,call,1.98,2026-07-04,0.02,0.0101010101,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.0925328884983724,0.014642807931966206
SPY260706C00746000,2026-07-02 20:14:57+00:00,746.0,1.47,1.48,1.5,-1.5999999,-52.117264,53565.0,2476,0.0761200787353515,False,REGULAR,USD,2026-07-06,call,1.49,2026-07-04,0.02,0.01342281879,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09071576050023626,0.014595681764884766
SPY260706C00747000,2026-07-02 20:14:56+00:00,747.0,1.08,1.06,1.09,-1.4,-56.451614,54681.0,2775,0.0744111114501953,False,REGULAR,USD,2026-07-06,call,1.0750000000000002,2026-07-04,0.03,0.02790697674,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.08861029347706018,0.014199182026864876
SPY260706C00748000,2026-07-02 20:14:54+00:00,748.0,0.74,0.73,0.75,-1.26,-63.0,50983.0,3945,0.07227490234375,False,REGULAR,USD,2026-07-06,call,0.74,2026-07-04,0.02,0.02702702703,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.086431376466137,0.014156474122386992
SPY260706C00749000,2026-07-02 20:14:58+00:00,749.0,0.5,0.49,0.5,-1.09,-68.55346,64844.0,3286,0.0708100732421875,False,REGULAR,USD,2026-07-06,call,0.495,2026-07-04,0.01,0.0202020202,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.08506097297871679,0.014250899736529293
SPY260706C00750000,2026-07-02 20:14:58+00:00,750.0,0.32,0.32,0.33,-0.92,-74.19355,125576.0,9487,0.070321796875,False,REGULAR,USD,2026-07-06,call,0.325,2026-07-04,0.01,0.03076923077,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.0844986093654416,0.014176812490441601
SPY260706C00751000,2026-07-02 20:14:55+00:00,751.0,0.21,0.2,0.21,-0.76000005,-78.35052,52588.0,2388,0.0698335205078125,False,REGULAR,USD,2026-07-06,call,0.205,2026-07-04,0.01,0.0487804878,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.0839543826939217,0.01412086218610921
SPY260706C00752000,2026-07-02 20:14:52+00:00,752.0,0.14,0.13,0.14,-0.57,-80.28169,43286.0,1955,0.0708100732421875,False,REGULAR,USD,2026-07-06,call,0.135,2026-07-04,0.01,0.07407407407,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.08502431605084802,0.01421424280866053
SPY260706C00753000,2026-07-02 20:14:54+00:00,753.0,0.09,0.08,0.09,-0.42,-82.35294,35878.0,1971,0.0715424877929687,False,REGULAR,USD,2026-07-06,call,0.0849999999999999,2026-07-04,0.01,0.1176470588,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.0856335804537533,0.014091092660784593
SPY260706C00754000,2026-07-02 20:14:59+00:00,754.0,0.05,0.05,0.06,-0.31,-86.11111,20669.0,1832,0.0727631787109375,False,REGULAR,USD,2026-07-06,call,0.055,2026-07-04,0.01,0.1818181818,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.08698648390839257,0.014223305197455072
SPY260706C00755000,2026-07-02 20:14:50+00:00,755.0,0.05,0.04,0.05,-0.2,-80.0,33285.0,5960,0.0766693896484375,False,REGULAR,USD,2026-07-06,call,0.045,2026-07-04,0.01,0.2222222222,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09175803496784528,0.015088645319407776
SPY260706C00756000,2026-07-02 20:14:36+00:00,756.0,0.04,0.03,0.04,-0.12,-75.0,15001.0,2795,0.08008732421875,False,REGULAR,USD,2026-07-06,call,0.035,2026-07-04,0.01,0.2857142857,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.09556939227318166,0.015482068054431655
SPY260706P00720000,2026-07-02 20:13:23+00:00,720.0,0.04,0.03,0.04,-0.08,-66.66667,4566.0,2226,0.16211775390625,False,REGULAR,USD,2026-07-06,put,0.035,2026-07-04,0.01,0.2857142857,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.19647246241669672,0.034354708510446724
SPY260706P00721000,2026-07-02 20:09:19+00:00,721.0,0.04,0.03,0.04,-0.1,-71.42857,1129.0,656,0.1562584375,False,REGULAR,USD,2026-07-06,put,0.035,2026-07-04,0.01,0.2857142857,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.18943066774174952,0.033172230241749506
SPY260706P00722000,2026-07-02 20:14:41+00:00,722.0,0.04,0.03,0.04,-0.11000001,-73.333336,3238.0,8661,0.15039912109375,False,REGULAR,USD,2026-07-06,put,0.035,2026-07-04,0.01,0.2857142857,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1823696000831329,0.031970478989382906
SPY260706P00723000,2026-07-02 20:14:50+00:00,723.0,0.04,0.04,0.05,-0.14000002,-77.77779,3349.0,854,0.149422568359375,False,REGULAR,USD,2026-07-06,put,0.045,2026-07-04,0.01,0.2222222222,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.18122285729790694,0.03180028893853193
SPY260706P00724000,2026-07-02 20:13:00+00:00,724.0,0.04,0.04,0.05,-0.15,-78.94737,5112.0,686,0.143563251953125,False,REGULAR,USD,2026-07-06,put,0.045,2026-07-04,0.01,0.2222222222,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.17392977495603493,0.03036652300290993
SPY260706P00725000,2026-07-02 20:14:33+00:00,725.0,0.05,0.05,0.06,-0.16,-76.190475,16781.0,3737,0.1411218701171875,False,REGULAR,USD,2026-07-06,put,0.055,2026-07-04,0.01,0.1818181818,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.17139334369258355,0.030271473575396057
SPY260706P00726000,2026-07-02 20:12:39+00:00,726.0,0.06,0.06,0.07,-0.17999999,-75.0,9201.0,1294,0.1381922119140625,False,REGULAR,USD,2026-07-06,put,0.065,2026-07-04,0.01,0.1538461538,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.16798192437023524,0.029789712456172734
SPY260706P00727000,2026-07-02 20:13:45+00:00,727.0,0.08,0.07,0.08,-0.21,-72.41379,9924.0,971,0.1342860009765625,False,REGULAR,USD,2026-07-06,put,0.075,2026-07-04,0.01,0.1333333333,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1638768194554818,0.029590818478919312
SPY260706P00728000,2026-07-02 20:14:54+00:00,728.0,0.09,0.09,0.1,-0.22999999,-71.875,7487.0,1141,0.132821171875,False,REGULAR,USD,2026-07-06,put,0.095,2026-07-04,0.01,0.1052631579,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1621468586601581,0.029325686785158095
SPY260706P00729000,2026-07-02 20:14:58+00:00,729.0,0.11,0.1,0.11,-0.26,-70.27026,15547.0,1081,0.1284266845703124,False,REGULAR,USD,2026-07-06,put,0.105,2026-07-04,0.01,0.09523809524,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.15668154130326495,0.028254856732952555
SPY260706P00730000,2026-07-02 20:14:54+00:00,730.0,0.13,0.12,0.13,-0.28,-68.29269,44335.0,4142,0.12500875,False,REGULAR,USD,2026-07-06,put,0.125,2026-07-04,0.01,0.08,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.153115272929271,0.02810652292927099
SPY260706P00731000,2026-07-02 20:14:39+00:00,731.0,0.15,0.15,0.16,-0.32999998,-68.75,12738.0,1502,0.12305564453125,False,REGULAR,USD,2026-07-06,put,0.155,2026-07-04,0.01,0.06451612903,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.15064911027003264,0.027593465738782644
SPY260706P00732000,2026-07-02 20:14:53+00:00,732.0,0.19,0.18,0.19,-0.33999997,-64.15094,13121.0,1583,0.1198818481445312,False,REGULAR,USD,2026-07-06,put,0.185,2026-07-04,0.01,0.05405405405,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.14700937916767728,0.02712753102314608
SPY260706P00733000,2026-07-02 20:14:30+00:00,733.0,0.23,0.22,0.24,-0.37,-61.666668,14719.0,1666,0.1184170190429687,False,REGULAR,USD,2026-07-06,put,0.2299999999999999,2026-07-04,0.02,0.08695652174,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.14458475240213556,0.02616773335916686
SPY260706P00734000,2026-07-02 20:14:56+00:00,734.0,0.27,0.28,0.29,-0.39000002,-59.090908,16736.0,2224,0.1157314990234375,False,REGULAR,USD,2026-07-06,put,0.285,2026-07-04,0.01,0.0350877193,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1420790262436672,0.02634752722022969
SPY260706P00735000,2026-07-02 20:14:59+00:00,735.0,0.34,0.34,0.35,-0.46,-57.5,27852.0,5567,0.1128018408203125,False,REGULAR,USD,2026-07-06,put,0.345,2026-07-04,0.01,0.02898550725,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.13874469556511562,0.025942854744803123
SPY260706P00736000,2026-07-02 20:14:59+00:00,736.0,0.41,0.41,0.42,-0.47,-53.409092,16603.0,1528,0.1097501135253906,False,REGULAR,USD,2026-07-06,put,0.415,2026-07-04,0.01,0.02409638554,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.13509938454855228,0.025349271023161674
SPY260706P00737000,2026-07-02 20:14:59+00:00,737.0,0.51,0.5,0.51,-0.54999995,-51.88679,21776.0,1645,0.1069425244140625,False,REGULAR,USD,2026-07-06,put,0.505,2026-07-04,0.01,0.0198019802,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.13183753151398825,0.024895007099925745
SPY260706P00738000,2026-07-02 20:14:58+00:00,738.0,0.61,0.61,0.63,-0.55999994,-47.863243,24374.0,1275,0.1048673498535156,False,REGULAR,USD,2026-07-06,put,0.62,2026-07-04,0.02,0.03225806452,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.12894529330054968,0.02407794344703408
SPY260706P00739000,2026-07-02 20:14:59+00:00,739.0,0.75,0.75,0.76,-0.53999996,-41.860466,24262.0,869,0.1017545880126953,False,REGULAR,USD,2026-07-06,put,0.755,2026-07-04,0.01,0.01324503311,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1257011164450631,0.023946528432367803
SPY260706P00740000,2026-07-02 20:14:59+00:00,740.0,0.91,0.91,0.93,-0.57,-38.51351,88559.0,2373,0.0992521716308593,False,REGULAR,USD,2026-07-06,put,0.92,2026-07-04,0.02,0.02173913043,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.12250786523835769,0.023255693607498393
SPY260706P00741000,2026-07-02 20:14:57+00:00,741.0,1.1,1.11,1.13,-0.65,-37.142857,49259.0,1580,0.0965666516113281,False,REGULAR,USD,2026-07-06,put,1.12,2026-07-04,0.02,0.01785714286,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.11932013101665592,0.02275347940532782
SPY260706P00742000,2026-07-02 20:14:59+00:00,742.0,1.36,1.35,1.37,-0.61,-30.964466,55237.0,3927,0.0937590625,False,REGULAR,USD,2026-07-06,put,1.36,2026-07-04,0.02,0.01470588235,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.11607412311093947,0.022315060610939463
SPY260706P00743000,2026-07-02 20:14:57+00:00,743.0,1.63,1.64,1.67,-0.56000006,-25.570778,64126.0,1539,0.0913787152099609,False,REGULAR,USD,2026-07-06,put,1.6549999999999998,2026-07-04,0.03,0.01812688822,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.11317259447375498,0.021793879263794086
SPY260706P00744000,2026-07-02 20:14:59+00:00,744.0,2.0,1.99,2.01,-0.53,-20.948616,44245.0,1224,0.0883880224609375,False,REGULAR,USD,2026-07-06,put,2.0,2026-07-04,0.02,0.01,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.11002292802548923,0.021634905564551735
SPY260706P00745000,2026-07-02 20:14:59+00:00,745.0,2.42,2.42,2.44,-0.5,-17.123287,58827.0,2773,0.0864349169921875,True,REGULAR,USD,2026-07-06,put,2.4299999999999997,2026-07-04,0.02,0.008230452675,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10793081590692645,0.02149589891473895
SPY260706P00746000,2026-07-02 20:14:59+00:00,746.0,2.92,2.88,2.94,-0.42999983,-12.835815,43894.0,3623,0.0845428460693359,True,REGULAR,USD,2026-07-06,put,2.91,2026-07-04,0.06,0.0206185567,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10504811077658349,0.02050526470724759
SPY260706P00747000,2026-07-02 20:14:50+00:00,747.0,3.48,3.47,3.55,-0.29999995,-7.9365067,25099.0,1609,0.0841156042480469,True,REGULAR,USD,2026-07-06,put,3.51,2026-07-04,0.08,0.02279202279,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10452941309547527,0.02041380884742837
SPY260706P00748000,2026-07-02 20:14:50+00:00,748.0,4.15,4.14,4.23,-0.1500001,-3.4883742,24758.0,1165,0.0839325006103515,True,REGULAR,USD,2026-07-06,put,4.1850000000000005,2026-07-04,0.09,0.02150537634,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10450216411487954,0.020569663504528046
SPY260706P00749000,2026-07-02 20:14:16+00:00,749.0,4.9,4.89,4.98,0.05000019,1.0309318,19332.0,1312,0.0842376733398437,True,REGULAR,USD,2026-07-06,put,4.9350000000000005,2026-07-04,0.09,0.01823708207,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.1053792243201102,0.021141550980266502
SPY260706P00750000,2026-07-02 20:09:10+00:00,750.0,6.04,5.58,5.93,0.32000017,5.594409,30474.0,710,0.0925383715820312,True,REGULAR,USD,2026-07-06,put,5.755,2026-07-04,0.35,0.06081668115,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.10760564619412402,0.015067274612092826
SPY260706P00751000,2026-07-02 20:13:21+00:00,751.0,6.62,6.48,6.98,-0.03000021,-0.451131,9253.0,319,0.1055997644042968,True,REGULAR,USD,2026-07-06,put,6.73,2026-07-04,0.5,0.07429420505,744.780029296875,0.01010365437,0.010103654373096082,0.0367,0.005479452054794521,0.11837602699242794,0.012776262588131138
